character,series,wishlist
Lone Wolf Peira,Epic Seven,2
Nero Claudius (Bride),Fate/Grand Order,27
Himari Azuma,Chained Soldier,73
Rem,Re:ZERO -Starting Life in Another World-,1443
Fighter A,Go! Go! Loser Ranger!,1
Nozomi Kujo,Bleach,6
Kanon Hisui,Go! Go! Loser Ranger!,13
Fugue,Honkai: Star Rail,59
New Moon Luna,Epic Seven,29
Oguri Cap,Uma Musume: Pretty Derby,256
L,Death Note,728
Gilgamesh,Fate/stay night,269
Rei Ayanami,Neon Genesis Evangelion,629
Tanya Degurechaff,Youjo Senki: Saga of Tanya the Evil,219
Ririsa Amano,2.5 Dimensional Seduction,76
Varesa,Genshin Impact,103
Juiz d'Arc,Undead Unluck,10
BB,Fate/EXTRA CCC,23
Kumoko,"So I'm a Spider, So What?",155
Coco Zenibako,Chained Soldier,8
Ushiwakamaru,Fate/Grand Order,25
Yuta Okkotsu,Jujutsu Kaisen,1000
Akane Kurokawa,Oshi no Ko,461
Naoko Kirino,Pumpkin Night,199
Sinful Angelica,Epic Seven,4
Hertrude Sera Fanoss,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,1
Mayoi Ayase,Ensemble Stars!!,42
Edelgard von Hresvelg,Fire Emblem: Three Houses,81
Deirdre Fou Roseblade,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,1
Doris Rutton,Epic Seven,0
Gantenbainne Mosqueda,Bleach,0
Frankenstein,Fate/Apocrypha,15
Johan Liebert,Monster,229
Wein Salema Arbalest,The Genius Prince's Guide to Raising a Nation Out of Debt,5
Karin Fantaria,Epic Seven,1
Hange Zoë,Attack on Titan,342
Aisha Greyrat,Mushoku Tensei: Jobless Reincarnation,11
Cyberpsycho,Cyberpunk: Edgerunners,1
Gudetama,Gudetama,59
Kiki,Kiki's Delivery Service,77
Red Keeper,Go! Go! Loser Ranger!,6
Conqueror Lilias,Epic Seven,1
Renren Akebayashi,Go! Go! Loser Ranger!,1
Seed,Zenless Zone Zero,37
Oyster,Food Fantasy,2
Spicy Gluten,Food Fantasy,2
Shun Tokita,Go! Go! Loser Ranger!,1
Olivia,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,40
ae-KARINA,Epic Seven,33
Dr. Ratio,Honkai: Star Rail,133
Asurada,Tower of Fantasy,2
Shirogane Noel,Hololive: Holo no Graffiti,66
Miku Nakano,The Quintessential Quintuplets,1275
Izuku Midoriya,My Hero Academia,871
Yuzuki Choco,Hololive: Holo no Graffiti,17
C.C.,Code Geass: Lelouch of the Rebellion,545
Yumeko Suzukiri,Go! Go! Loser Ranger!,21
Imperator,Wuthering Waves,1
Falin (Chimera),Dungeon Meshi,128
Ukinami Yuzuha,Zenless Zone Zero,130
Chimera,Ragna Crimson,1
Immortal Wukong,Epic Seven,2
Sania Yeagre,Final Fantasy XV,1
Green Keeper,Go! Go! Loser Ranger!,4
Edward Elric,Fullmetal Alchemist,522
Yoruichi Shihouin,Bleach,805
Kurapika,Hunter x Hunter,538
Masaki Anzai,Wind Breaker,2
Luluca,Epic Seven,7
Bystander Hwayoung,Epic Seven,4
Anri Haynesworth,The Legendary Hero Is Dead!,2
Anna Yanami,Makeine: Too Many Losing Heroines!,126
Ellen Joe,Zenless Zone Zero,496
Fighter D,Go! Go! Loser Ranger!,24
Sode no Shirayuki,Bleach,1
Gabi Braun,Attack on Titan: The Final Season,27
Klee,Genshin Impact,253
Yaomay,Kowloon Generic Romance,2
Roy Mustang,Fullmetal Alchemist,304
Manager Lee,Kowloon Generic Romance,0
Nana Osaki,Nana,306
Tomoe Koga,Rascal Does Not Dream of Bunny Girl Senpai,24
Jacques de Molay,Fate/Grand Order,5
Beatrix Amerhauser,Zom 100: Bucket List of the Dead,136
Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,238
Ishtar,Fate/Grand Order,228
Miko,Dandadan,3
Milk,Food Fantasy,18
Eda,Epic Seven,6
Amber,Darker than Black,7
